Generator,Date,Hour,Horizon [hr],Thermal Power Generated [MW],On/off [bin],Start Up [bin],Shut Down [bin],Production Cost [$],Start-up Cost [$],Total Cost [$],Mileage [MW],Scenario,Market
10_STEAM,2020-07-10,13,9,76.0,1,0,0,1669.71,0.0,1669.71,0.0,2,Day-ahead
10_STEAM,2020-07-10,13,10,30.0,1,0,0,905.0,0.0,905.0,46.0,2,Day-ahead
10_STEAM,2020-07-10,13,11,30.0,1,0,0,905.0,0.0,905.0,0.0,2,Day-ahead
10_STEAM,2020-07-10,13,12,76.0,1,0,0,1669.71,0.0,1669.71,46.0,2,Day-ahead
10_STEAM,2020-07-10,13,13,30.0,1,0,0,905.0,0.0,905.0,46.0,2,Day-ahead
10_STEAM,2020-07-10,13,14,76.0,1,0,0,1669.71,0.0,1669.71,46.0,2,Day-ahead
10_STEAM,2020-07-10,13,15,76.0,1,0,0,1669.71,0.0,1669.71,0.0,2,Day-ahead
10_STEAM,2020-07-10,13,16,76.0,1,0,0,1669.71,0.0,1669.71,0.0,2,Day-ahead
10_STEAM,2020-07-10,13,17,76.0,1,0,0,1669.71,0.0,1669.71,0.0,2,Day-ahead
10_STEAM,2020-07-10,13,18,76.0,1,0,0,1669.71,0.0,1669.71,0.0,2,Day-ahead
10_STEAM,2020-07-10,13,19,30.0,1,0,0,905.0,0.0,905.0,46.0,2,Day-ahead
10_STEAM,2020-07-10,13,20,76.0,1,0,0,1669.71,0.0,1669.71,46.0,2,Day-ahead
10_STEAM,2020-07-10,13,21,30.0,1,0,0,905.0,0.0,905.0,46.0,2,Day-ahead
10_STEAM,2020-07-10,13,22,76.0,1,0,0,1669.71,0.0,1669.71,46.0,2,Day-ahead
10_STEAM,2020-07-10,13,23,76.0,1,0,0,1669.71,0.0,1669.71,0.0,2,Day-ahead
10_STEAM,2020-07-10,13,24,76.0,1,0,0,1669.71,0.0,1669.71,0.0,2,Day-ahead
10_STEAM,2020-07-10,13,25,76.0,1,0,0,1669.71,0.0,1669.71,0.0,2,Day-ahead
10_STEAM,2020-07-10,13,26,30.0,1,0,0,905.0,0.0,905.0,46.0,2,Day-ahead
10_STEAM,2020-07-10,13,27,60.7,1,0,0,1389.97,0.0,1389.97,30.7,2,Day-ahead
10_STEAM,2020-07-10,13,28,76.0,1,0,0,1669.71,0.0,1669.71,15.3,2,Day-ahead
10_STEAM,2020-07-10,13,29,76.0,1,0,0,1669.71,0.0,1669.71,0.0,2,Day-ahead
