Date,Hour,Minute,Line,Flow,Violation
2020-07-10,5,0,branch_4_10,-6.401644,0.0
2020-07-10,5,0,branch_1_10,6.401644,0.0
2020-07-10,5,0,branch_3_4_0,-14.859298,0.0
2020-07-10,5,0,branch_3_4_1,-14.859298,0.0
2020-07-10,6,0,branch_2_3,-1.29166,0.0
2020-07-10,6,0,branch_1_2,27.38934,0.0
2020-07-10,6,0,branch_1_4,9.279764,0.0
2020-07-10,6,0,branch_4_10,-9.069896,0.0
2020-07-10,6,0,branch_1_10,1.988896,0.0
2020-07-10,6,0,branch_3_4_0,-15.18633,0.0
2020-07-10,6,0,branch_3_4_1,-15.18633,0.0
2020-07-10,7,0,branch_2_3,-0.149597,0.0
2020-07-10,7,0,branch_1_2,30.269903,0.0
2020-07-10,7,0,branch_1_4,11.067672,0.0
2020-07-10,7,0,branch_4_10,-11.979425,0.0
2020-07-10,7,0,branch_1_10,-3.020575,0.0
2020-07-10,7,0,branch_3_4_0,-16.434548,0.0
2020-07-10,7,0,branch_3_4_1,-16.434548,0.0
2020-07-10,8,0,branch_2_3,0.399216,0.0
2020-07-10,8,0,branch_1_2,32.440716,0.0
2020-07-10,8,0,branch_1_4,11.795529,0.0
2020-07-10,8,0,branch_4_10,-13.088756,0.0
2020-07-10,8,0,branch_1_10,-4.711244,0.0
2020-07-10,8,0,branch_3_4_0,-17.871142,0.0
2020-07-10,8,0,branch_3_4_1,-17.871142,0.0
2020-07-10,9,0,branch_2_3,-0.941459,0.0
2020-07-10,9,0,branch_1_2,32.322041,0.0
2020-07-10,9,0,branch_1_4,9.023166,0.0
2020-07-10,9,0,branch_4_10,-9.796794,0.0
2020-07-10,9,0,branch_1_10,-2.603206,0.0
2020-07-10,9,0,branch_3_4_0,-20.00248,0.0
2020-07-10,9,0,branch_3_4_1,-20.00248,0.0
2020-07-10,10,0,branch_2_3,-2.411124,0.0
2020-07-10,10,0,branch_1_2,32.588376,0.0
2020-07-10,10,0,branch_1_4,6.692683,0.0
2020-07-10,10,0,branch_4_10,-6.876941,0.0
2020-07-10,10,0,branch_1_10,-0.123059,0.0
2020-07-10,10,0,branch_3_4_0,-22.005312,0.0
2020-07-10,10,0,branch_3_4_1,-22.005312,0.0
2020-07-10,11,0,branch_2_3,-1.343121,0.0
2020-07-10,11,0,branch_1_2,35.056379,0.0
2020-07-10,11,0,branch_1_4,8.72148,0.0
2020-07-10,11,0,branch_4_10,-10.039141,0.0
2020-07-10,11,0,branch_1_10,-5.160859,0.0
2020-07-10,11,0,branch_3_4_0,-22.62131,0.0
2020-07-10,11,0,branch_3_4_1,-22.62131,0.0
2020-07-10,12,0,branch_2_3,-2.28405,0.0
2020-07-10,12,0,branch_1_2,36.50795,0.0
2020-07-10,12,0,branch_1_4,8.173071,0.0
2020-07-10,12,0,branch_4_10,-9.860979,0.0
2020-07-10,12,0,branch_1_10,-6.939021,0.0
2020-07-10,12,0,branch_3_4_0,-24.138025,0.0
2020-07-10,12,0,branch_3_4_1,-24.138025,0.0
2020-07-10,13,0,branch_2_3,-5.680628,0.0
2020-07-10,13,0,branch_1_2,35.274372,0.0
2020-07-10,13,0,branch_1_4,7.283028,0.0
2020-07-10,13,0,branch_4_10,-8.3846,0.0
2020-07-10,13,0,branch_1_10,-4.3154,0.0
2020-07-10,13,0,branch_3_4_0,-22.717814,0.0
2020-07-10,13,0,branch_3_4_1,-22.717814,0.0
2020-07-10,14,0,branch_2_3,-5.594954,0.0
2020-07-10,14,0,branch_1_2,36.150546,0.0
2020-07-10,14,0,branch_1_4,8.172165,0.0
2020-07-10,14,0,branch_4_10,-9.594289,0.0
2020-07-10,14,0,branch_1_10,-5.705711,0.0
2020-07-10,14,0,branch_3_4_0,-22.670227,0.0
2020-07-10,14,0,branch_3_4_1,-22.670227,0.0
2020-07-10,15,0,branch_2_3,-6.462,0.0
2020-07-10,15,0,branch_1_2,36.5365,0.0
2020-07-10,15,0,branch_1_4,7.800279,0.0
2020-07-10,15,0,branch_4_10,-9.405221,0.0
2020-07-10,15,0,branch_1_10,-6.594779,0.0
2020-07-10,15,0,branch_3_4_0,-23.08025,0.0
2020-07-10,15,0,branch_3_4_1,-23.08025,0.0
2020-07-10,16,0,branch_2_3,-8.035618,0.0
2020-07-10,16,0,branch_1_2,36.349382,0.0
2020-07-10,16,0,branch_1_4,6.319358,0.0
2020-07-10,16,0,branch_4_10,-7.43126,0.0
